import time: self [us] | cumulative | imported package
import time:     25608 |      25608 |                   asyncio.mixins
import time:     31725 |      57332 |                 asyncio.locks
import time:   1002910 |    1002910 |                   asyncio.queues
import time:     30300 |      30300 |                   asyncio.timeouts
import time:     74848 |    1108057 |                 asyncio.tasks
import time:     17983 |    1183371 |               asyncio.staggered
import time:    762764 |     762764 |               asyncio.trsock
import time:    137197 |    2768742 |             asyncio.base_events
import time:     40302 |      40302 |             asyncio.graph
import time:     42473 |      42473 |             asyncio.runners
import time:     36451 |      36451 |             asyncio.streams
import time:    734716 |     734716 |             asyncio.subprocess
import time:    179156 |     179156 |             asyncio.taskgroups
import time:    397966 |     397966 |             asyncio.threads
import time:     65052 |      65052 |               _overlapped
import time:     39917 |      39917 |               asyncio.base_subprocess
import time:     40781 |      40781 |               asyncio.proactor_events
import time:     82509 |      82509 |                   select
import time:     33969 |     116477 |                 selectors
import time:     59164 |     175641 |               asyncio.selector_events
import time:     35628 |      35628 |               asyncio.windows_utils
import time:    727070 |    1084086 |             asyncio.windows_events
import time:    215560 |    5499448 |           asyncio
import time:    188094 |     188094 |             greenlet._greenlet
import time:     72287 |     260380 |           greenlet
import time:     35770 |      35770 |             sqlalchemy.util.langhelpers
import time:     28052 |      63821 |           sqlalchemy.util._concurrency_py3k
import time:    127244 |    5950892 |         sqlalchemy.util.concurrency
import time:     26114 |      26114 |         sqlalchemy.util.deprecations
import time:     73821 |    7372438 |       sqlalchemy.util
import time:     25402 |      25402 |                         sqlalchemy.event.registry
import time:     32688 |      58089 |                       sqlalchemy.event.legacy
import time:     28942 |      87031 |                     sqlalchemy.event.attr
import time:     52188 |     139218 |                   sqlalchemy.event.base
import time:     71348 |     210565 |                 sqlalchemy.event.api
import time:   1074403 |    1284968 |               sqlalchemy.event
import time:     19284 |      19284 |                     sqlalchemy.log
import time:     52823 |      72106 |                   sqlalchemy.pool.base
import time:     27828 |      99933 |                 sqlalchemy.pool.events
import time:     31153 |      31153 |                   sqlalchemy.util.queue
import time:     24897 |      56049 |                 sqlalchemy.pool.impl
import time:     31993 |     187974 |               sqlalchemy.pool
import time:     34111 |      34111 |                     sqlalchemy.sql.roles
import time:     35517 |      35517 |                     sqlalchemy.inspection
import time:    191704 |     261331 |                   sqlalchemy.sql._typing
import time:     16893 |      16893 |                     sqlalchemy.sql.visitors
import time:     45833 |      45833 |                     sqlalchemy.sql.cache_key
import time:     35470 |      35470 |                       sqlalchemy.sql.operators
import time:     29769 |      65238 |                     sqlalchemy.sql.traversals
import time:     30628 |     158590 |                   sqlalchemy.sql.base
import time:     16382 |      16382 |                     sqlalchemy.sql.coercions
import time:     27670 |      27670 |                           sqlalchemy.sql.annotation
import time:     63058 |      63058 |                               sqlalchemy.sql.type_api
import time:     41581 |     104639 |                             sqlalchemy.sql.elements
import time:     33294 |      33294 |                             sqlalchemy.util.topological
import time:     57814 |     195746 |                           sqlalchemy.sql.ddl
import time:     26374 |      26374 |                                   _compat_pickle
import time:       634 |        634 |                                   _pickle
import time:     33723 |      60730 |                                 pickle
import time:     32356 |      32356 |                                   sqlalchemy.engine._py_processors
import time:     22018 |      54374 |                                 sqlalchemy.engine.processors
import time:     56864 |     171967 |                               sqlalchemy.sql.sqltypes
import time:     60237 |     232204 |                             sqlalchemy.sql.selectable
import time:     41323 |     273526 |                           sqlalchemy.sql.schema
import time:     36224 |     533165 |                         sqlalchemy.sql.util
import time:     32414 |     565578 |                       sqlalchemy.sql.dml
import time:     30886 |     596464 |                     sqlalchemy.sql.crud
import time:     37989 |      37989 |                     sqlalchemy.sql.functions
import time:     42131 |     692965 |                   sqlalchemy.sql.compiler
import time:     26765 |      26765 |                     sqlalchemy.sql._dml_constructors
import time:     27782 |      27782 |                     sqlalchemy.sql._elements_constructors
import time:     27367 |      27367 |                     sqlalchemy.sql._selectable_constructors
import time:     23819 |      23819 |                     sqlalchemy.sql.lambdas
import time:     45066 |     150797 |                   sqlalchemy.sql.expression
import time:     37605 |      37605 |                   sqlalchemy.sql.default_comparator
import time:     28337 |      28337 |                     sqlalchemy.sql.events
import time:     26417 |      54754 |                   sqlalchemy.sql.naming
import time:     59888 |    1415928 |                 sqlalchemy.sql
import time:        88 |    1416016 |               sqlalchemy.sql.compiler
import time:    431178 |    3320134 |             sqlalchemy.engine.interfaces
import time:     19127 |      19127 |             sqlalchemy.engine.util
import time:     54481 |    3393741 |           sqlalchemy.engine.base
import time:     44961 |    3438702 |         sqlalchemy.engine.events
import time:     25469 |      25469 |             sqlalchemy.dialects
import time:     30901 |      56369 |           sqlalchemy.engine.url
import time:     30291 |      30291 |           sqlalchemy.engine.mock
import time:     57410 |     144069 |         sqlalchemy.engine.create
import time:     60593 |      60593 |             sqlalchemy.engine.row
import time:     46065 |     106658 |           sqlalchemy.engine.result
import time:     28261 |     134919 |         sqlalchemy.engine.cursor
import time:     28502 |      28502 |         sqlalchemy.engine.reflection
import time:     49732 |    3795922 |       sqlalchemy.engine
import time:     29332 |      29332 |       sqlalchemy.schema
import time:     38338 |      38338 |       sqlalchemy.types
import time:     42738 |      42738 |         sqlalchemy.engine.characteristics
import time:     40660 |      83397 |       sqlalchemy.engine.default
import time:     79767 |   11399191 |     sqlalchemy
import time:     52711 |      52711 |                   sqlalchemy.sql._orm_types
import time:     36032 |      88743 |                 sqlalchemy.orm._typing
import time:     32729 |     121471 |               sqlalchemy.orm.base
import time:     37810 |      37810 |               sqlalchemy.orm.mapped_collection
import time:     44398 |     203679 |             sqlalchemy.orm.collections
import time:     35606 |      35606 |               sqlalchemy.orm.path_registry
import time:     55455 |      91060 |             sqlalchemy.orm.interfaces
import time:     45036 |     339774 |           sqlalchemy.orm.attributes
import time:     37045 |     376818 |         sqlalchemy.orm.util
import time:     28030 |     404848 |       sqlalchemy.orm.exc
import time:     47268 |      47268 |           sqlalchemy.orm.state
import time:     25843 |      73110 |         sqlalchemy.orm.instrumentation
import time:      2184 |       2184 |               sqlalchemy.future.engine
import time:     23541 |      25724 |             sqlalchemy.future
import time:     30502 |      56226 |           sqlalchemy.orm.context
import time:     59788 |      59788 |               sqlalchemy.orm.strategy_options
import time:     32585 |      32585 |               sqlalchemy.orm.descriptor_props
import time:     54444 |      54444 |               sqlalchemy.orm.relationships
import time:     30310 |     177126 |             sqlalchemy.orm.properties
import time:     51844 |      51844 |             sqlalchemy.orm.query
import time:     29514 |      29514 |             sqlalchemy.orm.unitofwork
import time:     23868 |      23868 |                 sqlalchemy.orm.evaluator
import time:     73125 |      73125 |                   sqlalchemy.orm.sync
import time:     27213 |     100337 |                 sqlalchemy.orm.persistence
import time:     31147 |     155351 |               sqlalchemy.orm.bulk_persistence
import time:     31812 |      31812 |               sqlalchemy.orm.identity
import time:     34312 |      34312 |               sqlalchemy.orm.state_changes
import time:     74382 |     295855 |             sqlalchemy.orm.session
import time:     28856 |     583194 |           sqlalchemy.orm.strategies
import time:     32841 |     672260 |         sqlalchemy.orm.loading
import time:     25088 |     770457 |       sqlalchemy.orm.mapper
import time:     18678 |      18678 |       sqlalchemy.orm._orm_constructors
import time:     33314 |      33314 |         sqlalchemy.orm.clsregistry
import time:     69779 |      69779 |         sqlalchemy.orm.decl_base
import time:     26628 |     129720 |       sqlalchemy.orm.decl_api
import time:     33156 |      33156 |         sqlalchemy.orm.writeonly
import time:     25391 |      58546 |       sqlalchemy.orm.dynamic
import time:     31926 |      31926 |         sqlalchemy.orm.scoping
import time:     36588 |      68513 |       sqlalchemy.orm.events
import time:     37930 |      37930 |       sqlalchemy.orm.dependency
import time:     27200 |    1515890 |     sqlalchemy.orm
import time:     28874 |      28874 |           dotenv.parser
import time:     37552 |      37552 |           dotenv.variables
import time:     35105 |     101529 |         dotenv.main
import time:     24970 |     126498 |       dotenv
import time:     37814 |     164312 |     app.config
import time:     18480 |      18480 |         sqlalchemy.dialects.postgresql.operators
import time:     36091 |      54571 |       sqlalchemy.dialects.postgresql.array
import time:     22524 |      22524 |         sqlalchemy.dialects.postgresql.json
import time:     31133 |      31133 |         sqlalchemy.dialects.postgresql.ranges
import time:     28591 |      28591 |             sqlalchemy.dialects.postgresql.types
import time:     41572 |      70162 |           sqlalchemy.dialects.postgresql.pg_catalog
import time:     32411 |      32411 |           sqlalchemy.dialects.postgresql.ext
import time:     47565 |      47565 |           sqlalchemy.dialects.postgresql.hstore
import time:     23187 |      23187 |           sqlalchemy.dialects.postgresql.named_types
import time:     58517 |     231841 |         sqlalchemy.dialects.postgresql.base
import time:     28788 |      28788 |           sqlalchemy.connectors
import time:     28917 |      57705 |         sqlalchemy.connectors.asyncio
import time:     35703 |     378903 |       sqlalchemy.dialects.postgresql.asyncpg
import time:     28530 |      28530 |       sqlalchemy.dialects.postgresql.pg8000
import time:     54371 |      54371 |         sqlalchemy.dialects.postgresql._psycopg_common
import time:     13704 |      68074 |       sqlalchemy.dialects.postgresql.psycopg
import time:     39841 |      39841 |       sqlalchemy.dialects.postgresql.psycopg2
